City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Bulaevo,KZ,76.82,overcast clouds,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
424,Kishi,NG,75.38,light rain,9.0833,3.85,New NCCF KISI
426,Shimoda,JP,76.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
432,Laurel,US,78.94,broken clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
442,Teguldet,RU,77.38,broken clouds,57.3064,88.1667,
443,Tabou,CI,79.25,overcast clouds,4.423,-7.3528,hotêl doufoulougou
444,Micheweni,TZ,79.34,clear sky,-4.9667,39.8333,
447,Melville,US,77.7,clear sky,40.7934,-73.4151,Marriott Melville Long Island
450,Lazaro Cardenas,MX,77.76,overcast clouds,17.9583,-102.2,quinta antigua
455,Saint Paul,US,76.87,overcast clouds,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
459,Praia Da Vitoria,PT,75.45,scattered clouds,38.7333,-27.0667,Hotel Branco I
474,Nagar Karnul,IN,79.92,overcast clouds,16.4821,78.3247,Sanjeevani Hills
485,Sopot,PL,78.89,few clouds,54.4418,18.56,Villa Sedan
496,Kilosa,TZ,79.56,overcast clouds,-6.8333,36.9833,New Bondeni Hotel
505,Ballymena,GB,76.42,broken clouds,54.8636,-6.2763,Adair Arms Hotel
517,Gubbi,IN,77.41,few clouds,13.3106,76.9444,Ap chicken center
523,Abbeville,FR,78.49,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
531,Poso,ID,77.5,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
533,Sonoita,MX,78.53,overcast clouds,31.85,-112.8333,Hotel Nora
541,Decatur,US,78.66,mist,39.8403,-88.9548,Haworth Cottage
547,Faanui,PF,77.86,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
548,Hovd,MN,76.44,overcast clouds,48.0056,91.6419,Hotel Khovd
549,Mundo Nuevo,MX,77.5,overcast clouds,18.7,-95.5,
556,Westport,US,77.92,clear sky,41.1415,-73.3579,The Westport Inn
558,Vaxjo,SE,75.25,few clouds,56.8777,14.8091,Elite Stadshotellet Vaxjo
569,San Borja,BO,75.9,clear sky,-14.8167,-66.85,
573,Samarai,PG,79.59,overcast clouds,-10.6167,150.6667,Nuli Sapi
576,Baykit,RU,76.87,overcast clouds,61.67,96.37,
581,Cascais,PT,78.51,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
584,Tumaco,CO,77.72,overcast clouds,1.7986,-78.8156,Dafneruben
585,Hays,US,78.13,scattered clouds,30.0502,-98.0336,Sinya on Lone Man Creek
592,Svetlogorsk,BY,77.7,moderate rain,52.6333,29.7333,Hotel Svetlogorsk JBIK
600,Morehead,US,75.99,clear sky,37.2711,-87.1764,CCI Express Inn
602,Pochutla,MX,77.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
605,Pozo Colorado,PY,79.83,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
619,Ames,US,79.11,broken clouds,42.0347,-93.6199,"Holiday Inn Express & Suites Ames, an IHG Hotel"
629,Anahuac,MX,76.5,clear sky,27.2333,-100.15,HOTEL SAN FELIPE
633,Harper,LR,79.18,overcast clouds,4.375,-7.7169,Screensaver
634,Tsaratanana,MG,77.83,clear sky,-16.7833,47.65,
635,Kut Chap,TH,78.48,overcast clouds,17.4257,102.5669,ผึ้งหลวง รีสอร์ต
649,Datong,CN,79.9,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
652,Kirakira,SB,79.45,scattered clouds,-10.4544,161.9205,SanBiz Lodge
654,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
657,Maragogi,BR,78.76,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
667,Brigantine,US,79.14,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
