City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
51,Penzance,GB,2021-07-24 13:19:21,50.1186,-5.5371,67.21,82,40,17.27,scattered clouds
52,Ponta Do Sol,PT,2021-07-24 13:19:21,32.6667,-17.1,80.71,67,0,2.89,clear sky
53,Port Elizabeth,ZA,2021-07-24 13:16:59,-33.918,25.5701,64.09,41,0,13.8,clear sky
54,Hof,DE,2021-07-24 13:19:21,50.3167,11.9167,82.45,47,0,6.91,light rain
55,Japura,ID,2021-07-24 13:19:22,-0.3167,102.35,80.26,73,38,3.56,scattered clouds
56,Sharjah,AE,2021-07-24 13:19:22,25.3573,55.4033,110.25,43,24,19.57,dust
57,Xinzhou,CN,2021-07-24 13:19:22,38.4092,112.7333,76.89,66,68,3.56,broken clouds
58,Lebu,CL,2021-07-24 13:19:23,-37.6167,-73.65,47.8,84,7,5.32,clear sky
59,Kodiak,US,2021-07-24 13:19:23,57.79,-152.4072,50.94,99,100,8.05,light rain
60,Dwarka,IN,2021-07-24 13:19:23,22.2394,68.9678,83.34,84,100,19.91,overcast clouds
61,Price,US,2021-07-24 13:19:24,39.5994,-110.8107,70.12,42,20,10.36,few clouds
62,Torbay,CA,2021-07-24 13:19:24,47.6666,-52.7314,65.28,80,75,11.5,broken clouds
63,Hilo,US,2021-07-24 13:19:25,19.7297,-155.09,73.8,94,90,5.75,overcast clouds
64,North Platte,US,2021-07-24 13:19:25,41.1239,-100.7654,73.29,81,1,5.01,clear sky
65,Quatre Cocos,MU,2021-07-24 13:19:25,-20.2078,57.7625,74.08,65,64,10.96,broken clouds
66,Motygino,RU,2021-07-24 13:19:25,58.1831,94.7592,75.16,53,5,5.61,clear sky
67,Teya,RU,2021-07-24 13:19:26,60.3778,92.6267,75.78,53,91,2.66,overcast clouds
68,Baiyin,CN,2021-07-24 13:19:26,36.5583,104.2081,86.88,44,12,13.24,few clouds
69,Port Macquarie,AU,2021-07-24 13:19:26,-31.4333,152.9167,53.89,76,1,6.55,clear sky
70,Constitucion,CL,2021-07-24 13:19:27,-35.3333,-72.4167,51.55,86,98,11.36,overcast clouds
71,Airai,TL,2021-07-24 13:19:27,-8.9266,125.4092,56.77,51,6,2.95,clear sky
72,Senneterre,CA,2021-07-24 13:14:29,48.3835,-77.2328,64.71,59,100,9.33,overcast clouds
73,Albany,US,2021-07-24 13:19:27,42.6001,-73.9662,71.28,82,0,2.68,clear sky
74,Tura,IN,2021-07-24 13:19:28,25.5198,90.2201,77.22,91,3,5.35,clear sky
75,Komsomolskiy,UZ,2021-07-24 13:19:28,40.4272,71.7189,102.92,11,0,4.61,clear sky
76,Barahona,DO,2021-07-24 13:19:28,18.2085,-71.1008,82.22,83,20,0.0,few clouds
77,Qaanaaq,GL,2021-07-24 13:19:29,77.484,-69.3632,38.98,69,30,4.18,scattered clouds
78,Itarema,BR,2021-07-24 13:19:29,-2.9248,-39.9167,85.48,48,65,15.03,broken clouds
79,Pacifica,US,2021-07-24 13:19:29,37.6138,-122.4869,60.82,93,40,1.01,scattered clouds
80,Houma,US,2021-07-24 13:14:45,29.5958,-90.7195,84.2,86,1,9.22,clear sky
81,Mataura,NZ,2021-07-24 13:19:30,-46.1927,168.8643,41.49,90,99,3.69,overcast clouds
82,Kurayoshi,JP,2021-07-24 13:19:30,35.4333,133.8167,80.42,86,94,3.96,overcast clouds
83,Khatanga,RU,2021-07-24 13:19:30,71.9667,102.5,63.09,79,100,6.55,overcast clouds
84,Saskylakh,RU,2021-07-24 13:19:31,71.9167,114.0833,60.15,65,100,3.4,overcast clouds
85,Kinango,KE,2021-07-24 13:19:31,-4.1372,39.3153,81.84,45,8,19.73,clear sky
86,Karratha,AU,2021-07-24 13:19:32,-20.7377,116.8463,73.11,56,19,3.71,few clouds
87,Semme,FR,2021-07-24 13:19:32,46.1963,1.5007,72.01,53,46,10.16,scattered clouds
88,Freeport,US,2021-07-24 13:16:29,40.6576,-73.5832,78.1,63,1,1.01,clear sky
89,Omsukchan,RU,2021-07-24 13:19:32,62.5333,155.8,50.88,91,100,3.53,overcast clouds
90,Bethel,US,2021-07-24 13:14:35,41.3712,-73.414,74.07,78,1,4.61,clear sky
91,Brownwood,US,2021-07-24 13:19:33,31.7093,-98.9912,78.3,82,0,12.12,clear sky
92,Georgetown,MY,2021-07-24 13:19:33,5.4112,100.3354,85.95,74,20,3.44,few clouds
93,Surt,LY,2021-07-24 13:19:33,31.2089,16.5887,83.91,51,0,13.04,clear sky
94,Poum,NC,2021-07-24 13:19:33,-20.2333,164.0167,72.84,85,9,8.1,clear sky
95,Isangel,VU,2021-07-24 13:19:34,-19.55,169.2667,75.79,86,6,2.08,clear sky
96,Dukat,RU,2021-07-24 13:19:34,62.55,155.55,50.22,89,100,3.38,overcast clouds
97,Great Falls,US,2021-07-24 13:18:19,47.5002,-111.3008,64.42,40,1,3.0,clear sky
98,Iranshahr,IR,2021-07-24 13:19:35,27.2025,60.6848,109.74,20,40,6.91,scattered clouds
99,Lukovetskiy,RU,2021-07-24 13:19:35,64.2956,41.9211,55.38,65,99,11.25,light rain
100,Bathsheba,BB,2021-07-24 13:19:35,13.2167,-59.5167,86.61,74,40,16.11,scattered clouds
101,East London,ZA,2021-07-24 13:19:36,-33.0153,27.9116,61.74,59,0,16.11,clear sky
102,Vao,NC,2021-07-24 13:19:36,-22.6667,167.4833,70.99,84,30,9.44,scattered clouds
103,Ballina,AU,2021-07-24 13:19:36,-28.8667,153.5667,57.78,61,0,15.28,clear sky
104,Kristiansund,NO,2021-07-24 13:19:37,63.1115,7.732,72.25,46,0,5.75,clear sky
105,Urusha,RU,2021-07-24 13:19:37,54.05,122.9,58.6,98,46,2.64,moderate rain
106,Kununurra,AU,2021-07-24 13:19:37,-15.7667,128.7333,67.98,64,100,0.0,overcast clouds
107,Luderitz,NA,2021-07-24 13:19:37,-26.6481,15.1594,70.95,29,4,9.13,clear sky
108,Goulburn,AU,2021-07-24 13:19:38,-34.75,149.7167,44.58,92,97,23.13,light rain
109,Puerto Ayora,EC,2021-07-24 13:19:38,-0.7393,-90.3518,73.54,77,66,7.0,broken clouds
110,Blackwater,AU,2021-07-24 13:19:38,-23.5833,148.8833,57.49,46,0,9.62,clear sky
111,Arrecife,ES,2021-07-24 13:19:39,28.963,-13.5477,80.58,61,20,19.57,few clouds
112,Carnarvon,AU,2021-07-24 13:19:39,-24.8667,113.6333,62.67,59,90,8.05,overcast clouds
